Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,4354.189941,4427.740234,3926.340088,4272.750000,4272.750000,2472338800
2015-01-01,4294.049805,4679.259766,4076.159912,4604.250000,4604.250000,3027091300
2015-02-01,4613.310059,4951.479980,4584.370117,4951.479980,4951.479980,2528232100
2015-03-01,4937.430176,5106.040039,4856.140137,5033.640137,5033.640137,2829209800
2015-04-01,5009.629883,5283.709961,4987.259766,5046.490234,5046.490234,2894296400
2015-05-01,5060.500000,5193.770020,4874.899902,5007.890137,5007.890137,2352592200
2015-06-01,5029.049805,5095.040039,4712.970215,4790.200195,4790.200195,2863471300
2015-07-01,4849.430176,5184.740234,4601.899902,5082.609863,5082.609863,3123847300
2015-08-01,5076.799805,5217.799805,4230.490234,4652.950195,4652.950195,2579817300
2015-09-01,4586.330078,4733.049805,4278.569824,4455.290039,4455.290039,2796557600
2015-10-01,4518.029785,4947.020020,4386.100098,4897.660156,4897.660156,2759679000
2015-11-01,4848.859863,5011.649902,4751.029785,4957.600098,4957.600098,2405990100
2015-12-01,4960.379883,4975.709961,4472.649902,4637.060059,4637.060059,2661823600
2016-01-01,4582.049805,4586.109863,4084.679932,4417.020020,4417.020020,2674749200
2016-02-01,4418.140137,4422.609863,3892.459961,4353.549805,4353.549805,2936600000
2016-03-01,4343.930176,4580.970215,4323.180176,4385.060059,4385.060059,2623726800
2016-04-01,4331.279785,4607.689941,4229.120117,4428.959961,4428.959961,2379398400
2016-05-01,4455.759766,4536.629883,4245.169922,4505.620117,4505.620117,2082359700
2016-06-01,4502.839844,4507.220215,4007.969971,4237.479980,4237.479980,2909371000
2016-07-01,4261.089844,4474.669922,4062.070068,4439.810059,4439.810059,2078795600
2016-08-01,4469.990234,4528.000000,4293.339844,4438.220215,4438.220215,1711997500
2016-09-01,4448.029785,4569.620117,4310.879883,4448.259766,4448.259766,2122167200
2016-10-01,4447.540039,4579.279785,4370.649902,4509.259766,4509.259766,1953107300
2016-11-01,4532.339844,4606.660156,4344.879883,4578.339844,4578.339844,2424966100
2016-12-01,4571.200195,4864.290039,4490.149902,4862.310059,4862.310059,2072752000
2017-01-01,4845.959961,4929.600098,4748.899902,4748.899902,4748.899902,1924959300
2017-02-01,4786.850098,4932.350098,4733.819824,4858.580078,4858.580078,1914789200
2017-03-01,4897.479980,5122.509766,4897.479980,5122.509766,5122.509766,2192831200
2017-04-01,5130.180176,5296.520020,4980.410156,5267.330078,5267.330078,2038144900
2017-05-01,5284.879883,5442.100098,5238.509766,5283.629883,5283.629883,2288415800
2017-06-01,5290.839844,5372.970215,5117.229980,5120.680176,5120.680176,1959945700
2017-07-01,5151.189941,5259.470215,5092.140137,5093.770020,5093.770020,1642469600
2017-08-01,5116.899902,5231.649902,4995.069824,5085.589844,5085.589844,1553280600
2017-09-01,5117.189941,5329.810059,5050.089844,5329.810059,5329.810059,1828550900
2017-10-01,5332.919922,5513.529785,5326.660156,5503.290039,5503.290039,1579660900
2017-11-01,5524.379883,5536.399902,5267.220215,5372.790039,5372.790039,1745109700
2017-12-01,5374.129883,5429.029785,5299.060059,5312.560059,5312.560059,1443544600
2018-01-01,5318.740234,5567.029785,5258.660156,5481.930176,5481.930176,1704206200
2018-02-01,5510.589844,5529.399902,5051.209961,5320.490234,5320.490234,1907980900
2018-03-01,5304.810059,5315.770020,5038.120117,5167.299805,5167.299805,1942703700
2018-04-01,5144.629883,5521.439941,5094.689941,5520.500000,5520.500000,1541886100
2018-05-01,5511.459961,5657.439941,5381.379883,5398.399902,5398.399902,1845359900
2018-06-01,5440.419922,5560.620117,5246.410156,5323.529785,5323.529785,1879379700
2018-07-01,5264.399902,5529.029785,5242.640137,5511.299805,5511.299805,1735657900
